PLAYER_NAME,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
Kyle Anderson,0.5169347401898636,0.4403794773825126,0.5105601612338235,0.49319834987384,0.5224749510864526,0.4984349002330477,0.5088439389201854,0.5311996517741132,0.5826196860503976,0.5038925160341439
Dwight Powell,0.5161269919849769,0.49985675517196765,0.5101051663354884,0.48864814487620667,0.5269154668622879,0.51743260940408,0.5089630742399762,0.5449385300864659,0.6510845164083134,0.5370982595073895
Julius Randle,0.50521555408185,0.42406174000700686,0.5089462825919487,0.5301156523898661,0.5121354256421461,0.5797097617664064,0.5086584428795794,0.5197311894247405,0.5545371112272738,0.48243557970021744
Andrew Wiggins,0.501004020692781,0.4221095039793338,0.5114712191775883,0.5098205627850256,0.531054394310783,0.5124895085810678,0.5087905949042181,0.5326566492080353,0.5511481735877934,0.5564586155094214
Joel Embiid,0.49377220835504876,0.43307851982883555,0.5230549131757452,0.49346914338634584,0.5518547337419211,0.549255132977637,0.5085824401478684,0.5946059708571912,0.5311398431325443,0.6036428420263893
Danté Exum,0.4974032819720773,0.4490422611441327,0.5099841502925712,0.44617312158651307,0.5154458582492873,0.4984207698107568,0.5090689270237231,0.5386582722100058,0.5970149273727313,0.5899974609122364
Dario Šarić,0.503098341381677,0.4857759623329911,0.5080753353736863,0.47950272247772796,0.526434572444903,0.5266093266105243,0.5087064920141983,0.5529215872857755,0.4684634072473887,0.5551146402723143
Clint Capela,0.5140828991275695,0.5170162875806024,0.5089210218398159,0.47709260489540983,0.46575615487307676,0.49576758309869123,0.5087678273907948,0.5305369801571393,0.6468260891684431,0.5297947891728411
Bogdan Bogdanović,0.5153956136459568,0.49793395037686067,0.5091172089512388,0.4040808537442858,0.49641188335337166,0.3987990200201422,0.5099781218267959,0.5395542674186804,0.7186759529641393,0.605878070101869
Jusuf Nurkić,0.511308536542942,0.5673300779753909,0.5066513090085779,0.5477209220545852,0.5160745650949428,0.4979748957593543,0.5087464328537733,0.5181743397240105,0.5771751857999359,0.5261592504176721
Vasilije Micic,0.5251848743283594,0.5235351234518987,0.5092796455160503,0.50414434483225,0.49927022714333313,0.5367358351170697,0.508698442499749,0.5012497881393729,0.5441763488480527,0.5582768111656637
Nikola Jokić,0.5348412477315314,0.3566955310141837,0.5100119150208265,0.537127833952623,0.5479764099705998,0.5615214065039855,0.5074822006767922,0.19239089963382267,0.5076855445200558,0.6157310682980134
Kristaps Porziņģis,0.5038330597435333,0.4138936284233399,0.5088824663768019,0.5060496883974169,0.51621419101503,0.5579909578958728,0.5086817052163377,0.5361235101062558,0.4790945514794736,0.5436328005622858
Joe Ingles,0.5033601137120797,0.4347583790588086,0.5089117926808802,0.518552054223985,0.5037056698885103,0.5614386072478826,0.5086451666730923,0.48305840323310517,0.5960617043074088,0.5279751376342066
T.J. McConnell,0.4991405259872326,0.46600527270453446,0.5107197722970686,0.5206098751058824,0.4864420580810018,0.5164764189034021,0.5087946100963349,0.4891732663420224,0.6502739200349565,0.4975832703937674
Tyus Jones,0.5111560672702519,0.5347274703566921,0.5082908106833128,0.4868588388986322,0.49757854189292294,0.4925151447498536,0.5088816170409625,0.5188686555068269,0.48108849481764604,0.5045969709892768
Delon Wright,0.506278978991071,0.40528038564693614,0.5097082007039638,0.5323473951655695,0.5343600466454573,0.6282639720032235,0.5086325395669681,0.5799674024239643,0.5430601618107642,0.49748180908163775
D'Angelo Russell,0.4955734958736826,0.7887480370311117,0.5018762692498845,0.5042929990883642,0.475056032971281,0.44161840798626917,0.5096566400446421,0.5529825293605719,0.4576953866957491,0.4943155862096229
Karl-Anthony Towns,0.4968143558033498,0.40747630277608515,0.5095654034915441,0.5475559592270374,0.5541731784232853,0.7590055573161476,0.5084983204723316,0.5754223410028825,0.4909291777252163,0.4293405575568619
Richaun Holmes,0.5194425262483554,0.5025799647576696,0.5084214161138669,0.530716561638683,0.5311331015788865,0.5280997848342541,0.5088121478279138,0.528466599634073,0.5459311382524767,0.47889020922282577
Devin Booker,0.5102355556855795,0.581533238190223,0.5083047242596156,0.47832416325429356,0.47933433797832686,0.5544283786230051,0.5087907723131146,0.588922540523104,0.4415123224540216,0.4698409640979714
Cameron Payne,0.5011148874358687,0.4317752366090221,0.5099009903045171,0.5388628325803634,0.5295769876346909,0.5906698786043854,0.5086672514045028,0.3680337519324245,0.5386168756534083,0.503615572187009
Myles Turner,0.5045835007107612,0.5540431609419685,0.5089742066444102,0.519952267310145,0.4827949458071253,0.516611483896664,0.5086815940674396,0.5226637054933801,0.5555803743999617,0.4809003505056888
Trey Lyles,0.5082124119111907,0.524944246841406,0.5103591372409078,0.5586090221116196,0.4655128603374576,0.40209164148962623,0.5091728245122944,0.5167062892787392,0.5233361044523106,0.5502996635925219
Bobby Portis,0.5154690832218338,0.4246263704113727,0.5106119140198128,0.49459571045148054,0.4668531562144651,0.4058166197266186,0.5090702527680568,0.4917422887712343,0.5360627235675258,0.4945687243741055
