Player_Name,Salary
Brogdon  Malcolm Brogdon,"$22,500,000"
Smart  Marcus Smart,"$20,210,285"
Holmes  Richaun Holmes,"$12,648,321"
Sarr  Alex Sarr,"$11,245,680"
Coulibaly  Bilal Coulibaly,"$6,945,240"
Bey  Saddiq Bey,"$6,440,678"
Kispert  Corey Kispert,"$5,705,888"
Carrington  Bub Carrington,"$4,454,880"
George  Kyshawn George,"$2,825,520"
Johnson  AJ Johnson,"$2,795,294"
Gill  Anthony Gill,"$2,237,691"
Jones  Colby Jones,"$2,120,693"
Champagnie  Justin Champagnie,"$1,800,000"
